gender,region,parent_education_level,internet_access_quality,financial_stress_index,num_courses_enrolled,study_hours_per_week,sleep_hours_avg,extracurricular_count,prev_gpa,assignment_submission_rate,midterm_score,target
Male,Urban,Bachelors,Poor,10,5,15.844611400693768,4.633052988694941,3,1.9238086966232537,42.74070852428437,41.34947484185924,Fail
Female,Urban,Masters,Average,5,4,8.41551509261036,7.007630548272215,1,2.346389479427282,75.6247928047504,52.32083322369581,At-Risk
Male,Suburban,High School,Excellent,10,4,19.737157827576578,4.764003180553101,1,2.3787140318002424,56.14771186961789,63.58044838390601,At-Risk
Female,Rural,High School,Average,10,3,10.371395562921116,7.334073759433428,1,1.4782956015076314,43.82857670125776,42.15685989921384,Fail
Female,Urban,Bachelors,Good,7,5,17.622060409553438,8.08113813891018,1,3.145747971204779,79.85284357458485,88.16292904375574,Pass
Male,Suburban,High School,Average,3,6,19.058966570853144,7.4013297644871345,3,2.629047886987012,62.03469783208279,54.45211920191017,At-Risk
Female,Urban,Bachelors,Good,4,5,15.47596629534013,7.590825243963805,2,2.477822680246067,67.41240764338471,72.47191430790849,At-Risk
Male,Suburban,High School,Average,10,3,23.784854678186516,8.546852357611002,2,3.1275615223912197,96.98314613299574,70.97759645359653,Pass
Male,Urban,High School,Good,9,3,11.946484641748752,6.959854898309443,1,2.467949831544944,64.26219933742924,72.376136061709,At-Risk
Female,Rural,PhD,Average,4,5,23.37770106560774,5.760958535672219,0,2.3984752311121547,79.74624997916511,47.03849611461099,At-Risk
Non-binary,Suburban,High School,Good,3,3,8.64526990700049,6.086572742265814,1,2.5479470650143523,61.86585986033139,54.78704324857527,At-Risk
Female,Urban,PhD,Average,2,3,18.99514245939818,6.118938827952663,2,2.6705203855111774,67.5371591951329,80.53113343317982,Pass
Male,Urban,PhD,Good,5,3,14.287932593542719,5.434991947684598,0,2.7425284235859246,56.30529573783865,82.77151168772936,Pass
Male,Urban,Bachelors,Excellent,4,5,11.45933704443366,8.176316955163536,1,3.10360234050388,72.01167606128003,78.3927412392219,Pass
Female,Urban,Bachelors,Average,8,3,6.693606256339919,7.790354243025059,0,1.8129570043827692,43.14022430787205,42.68960923753501,Fail
Male,Urban,Bachelors,Excellent,7,6,13.696654280415938,4.502495147378744,1,2.1898974549370807,51.456997854848254,54.61900653708258,At-Risk
Male,Rural,Masters,Good,6,6,13.380924599096474,5.76051330577699,3,1.9870567330830258,40.073997643033984,52.99424193445557,Fail
Female,Suburban,High School,Average,2,4,15.86453111477229,5.3620219676778005,2,2.598020017020126,57.33204945572173,68.98898541495693,At-Risk
Male,Suburban,Bachelors,Good,3,6,18.624074881553696,7.476019008630115,1,3.001903949874774,72.18169749116714,72.68973819251167,Pass
Female,Urban,Bachelors,Average,10,4,10.957669134473274,8.614764266685034,0,2.2431311005975267,67.94366307941954,40.59449154557763,At-Risk
Male,Rural,Bachelors,Good,9,5,23.791338405853,7.672279035012675,2,1.9573016526750115,33.97673555500867,44.58291277159741,Fail
Female,Suburban,Bachelors,Good,9,3,12.30732643847191,5.948211307530006,1,1.89006367116824,26.429801148869046,34.811565509853054,Fail
Male,Urban,High School,Average,5,6,18.010969895137,6.521532546492169,1,2.232077274544495,38.193656534027355,61.928416836860315,At-Risk
Female,Suburban,Bachelors,Good,3,4,15.450836916316417,4.910723115147549,1,2.801988857568839,61.57572684720188,73.00086945186388,At-Risk
Female,Suburban,Masters,Excellent,2,5,14.00645143172209,5.025756224827239,1,2.2161153349148286,61.77258415551155,54.51289312469741,At-Risk
Male,Urban,High School,Excellent,8,4,15.200285911325158,8.269074572387039,3,2.040450619593457,47.448183039613156,49.0051260923387,Fail
Non-binary,Urban,Masters,Good,6,3,10.298562409146978,9.166168304696882,2,2.128026943809676,49.50108663484372,68.92950751991337,At-Risk
Female,Urban,Bachelors,Excellent,10,6,13.062169337137844,5.92784720678565,3,2.3392163618466535,54.55630945332732,67.65155845047944,At-Risk
Female,Urban,Masters,Good,7,5,8.301223733519253,7.072178230198795,2,2.59549260974608,46.10900648297978,66.52988378408403,At-Risk
Female,Rural,Bachelors,Average,1,4,12.253648319398652,8.080785640001903,1,2.4924574335717797,70.92568156454006,58.007042643334614,At-Risk
Female,Rural,Bachelors,Excellent,1,5,12.666665364910306,4.5042366972417245,2,2.9107274630073476,85.87342500785387,83.08816447141798,Pass
Female,Suburban,High School,Good,10,4,19.226106813856717,5.426970082546605,0,2.2932873127612803,53.97746821064363,58.21618596100442,At-Risk
Male,Urban,Masters,Good,2,4,13.340374033264721,9.990453227866876,2,2.78828932338855,70.5618452122476,64.52060395393433,At-Risk
Male,Urban,High School,Good,10,3,12.759591881313138,5.563425253165888,0,1.7750424684884571,45.56327090458543,39.65137578671335,Fail
Male,Suburban,Masters,Excellent,3,3,16.100200833270197,6.457248535871263,0,2.7837064688764,58.914437031628125,74.88755546903846,At-Risk
Male,Suburban,PhD,Excellent,1,4,15.904263046612815,6.095598459405952,3,2.55236034814556,59.394120078958835,71.4275698377595,At-Risk
Male,Urban,High School,Good,5,6,12.044796643425226,4.0078309631650395,2,1.8749797033964608,64.73206174211211,51.95929585106936,At-Risk
Male,Suburban,High School,Average,3,5,16.97114196259399,7.124083807756627,1,2.2809862038047926,56.98476080030714,62.28510936684593,At-Risk
Female,Rural,Bachelors,Good,1,5,14.106764011609727,6.962122563551699,2,2.401823851944898,62.280787648581175,57.611429535919044,At-Risk
Male,Urban,High School,Good,8,3,12.036683496724967,7.2712768216301855,3,2.0043147478740164,43.17145702930497,45.75441526345932,Fail
Male,Urban,Masters,Average,6,6,12.52260584530503,6.8731366639779745,0,3.2523985827565207,77.01037811096413,82.49861522077225,Pass
Female,Suburban,High School,Good,9,4,19.746753446759715,6.310208588517713,0,2.4162425979452866,66.86898398554919,59.74986774379817,At-Risk
Male,Urban,High School,Good,3,3,12.67286003370221,6.224091699471916,3,2.4424454279010646,52.66513283004871,53.05479120794223,At-Risk
Female,Urban,PhD,Average,9,4,16.305626682530715,6.249735956260061,3,2.256279651468322,72.60681992899083,56.14899214538369,At-Risk
Male,Urban,Bachelors,Average,9,4,8.587998678097684,5.516965421729612,2,3.0215658677842625,59.37648523693563,81.05888405971142,Pass
Non-binary,Urban,Masters,Average,1,3,20.5765249919613,5.749293081419038,0,2.6839892310507865,60.76810006012162,63.97666127734475,At-Risk
Female,Suburban,High School,Excellent,3,6,12.085028629207544,5.542129480404462,3,2.1919977137546787,40.00117588010394,67.49795947246992,At-Risk
Male,Suburban,Bachelors,Average,6,5,17.001447483719435,7.860115740842852,2,2.9648223155458955,87.36419035381061,64.10602648547535,Pass
Male,Urban,Bachelors,Average,8,3,13.742159359984516,7.459153855687019,2,2.486834472813108,61.808126957336675,55.57763467233078,At-Risk
Female,Rural,Bachelors,Good,4,6,16.944170788962293,7.040700772272755,1,2.046858168309882,48.30756075541928,46.58916784118711,Fail
Female,Rural,Bachelors,Average,5,4,17.217201101823463,9.91339781628988,0,2.5168909966614352,66.89830966198986,69.50219745418079,At-Risk
Female,Rural,Bachelors,Poor,9,3,14.276683698949476,5.61145703508336,2,2.2230917424319308,69.56744136796858,57.27634406140667,At-Risk
Female,Urban,Bachelors,Average,6,5,5.670177258528653,8.678165222879944,3,2.4278277461041897,62.85638119314262,53.60725933775367,At-Risk
Male,Urban,High School,Good,7,5,20.455075547041204,6.6099547382683435,0,2.690835381654961,78.6973914009986,52.292713765191365,At-Risk
Male,Rural,Bachelors,Good,7,4,14.300486688495821,7.2357470274103965,3,2.8434670770204806,68.15030599657928,61.59273441628409,At-Risk
Male,Suburban,High School,Average,4,3,16.84003003587033,8.006704347191175,3,2.6465728353250078,56.55092504505256,52.13806106988243,At-Risk
Female,Urban,Bachelors,Good,4,5,18.458593449541343,6.283695193462082,2,2.992711224980827,77.1399207633242,81.80558587316445,Pass
Female,Urban,High School,Excellent,4,3,12.714129264284853,5.414953242739575,2,1.575149498043133,32.40515073115875,30.906070088343323,Fail
Male,Urban,Bachelors,Average,5,5,17.58567728302231,5.662336253462492,1,3.205063045547109,87.01405175351307,85.57107888217769,Pass
Male,Rural,Bachelors,Average,5,4,11.261989529378797,3.8405742744496507,3,2.051848357202851,47.20292589401433,55.64663471619067,At-Risk
Male,Suburban,High School,Average,8,4,16.93771428239274,7.910194235981928,2,2.10435402143578,51.763424791394634,62.14155770641546,At-Risk
Male,Urban,High School,Good,9,3,15.098513817389355,7.874109439990178,1,2.185713718073857,32.23884941754282,48.92558602128792,Fail
Female,Urban,High School,Good,2,6,12.887524282497717,9.375475834138577,0,2.7726835477665146,68.06987621881551,72.55489681363254,Pass
Female,Suburban,Bachelors,Average,7,6,15.23496085156499,7.622393363603065,1,2.849335313185593,68.80753098962217,72.20685024670546,Pass
Female,Rural,Masters,Good,1,4,9.724032633019242,7.982837121139541,1,2.3186952204827946,69.59701858998046,58.963113716840816,At-Risk
Male,Urban,High School,Poor,1,5,16.54519963836949,6.877680466195964,3,2.837447597440729,79.63726210713622,70.7840623164167,Pass
Male,Suburban,Bachelors,Good,4,6,17.064110395114092,7.697318831224067,0,2.6816606534645677,67.28370000680536,73.77683527877728,At-Risk
Female,Rural,High School,Good,10,4,16.72820069952057,8.63438940048988,3,2.1345619605194033,37.05966747731773,59.2245659559262,At-Risk
Female,Urban,Bachelors,Average,7,5,22.510854137704914,7.272208325287962,3,2.8590476080429488,67.07386667390692,71.45603072376944,Pass
Female,Suburban,Masters,Good,2,5,14.52513142947492,6.218152663241875,1,2.7940299250207317,81.49098901020686,66.17556237088114,Pass
Female,Urban,High School,Average,2,6,14.869386639360476,6.669660648157718,1,2.442215248645549,59.070887693191494,56.46044095257183,At-Risk
Female,Suburban,Bachelors,Good,1,4,9.148652994391501,8.127795404850254,2,2.752830122152314,58.1531660279375,69.10417823714808,At-Risk
Female,Suburban,High School,Poor,10,5,22.862347457714524,6.263104890586254,1,2.1703367534734506,65.77665782751728,56.0329995189788,At-Risk
Male,Suburban,High School,Excellent,2,5,7.509283024327466,8.333599489256727,2,2.3872170198256457,43.445284976650846,58.948739860784436,At-Risk
Male,Suburban,High School,Average,7,3,16.14281803349939,9.862896807536048,3,2.275969498740016,55.76986995805101,46.564867673853456,At-Risk
Male,Urban,High School,Excellent,9,3,11.926094631457076,8.352193202247708,1,1.847137674308022,51.759279475161286,43.74117222107952,Fail
Male,Rural,Bachelors,Average,6,6,15.311583063373195,8.120703854813119,0,2.1008781858072654,53.782493859452686,48.305306281975476,At-Risk
Female,Suburban,Bachelors,Good,10,3,8.459703639367042,7.521448391586257,0,2.0682250025683,39.29043293752538,51.82626102414988,Fail
Male,Urban,Bachelors,Average,2,4,19.458317348854393,5.83469577462673,3,2.7142576335278994,58.56451634466124,88.14570564517872,Pass
Female,Suburban,High School,Excellent,10,6,10.2241020085023,5.698627050945381,3,2.0397325123309216,44.013547395825476,54.434543284235524,At-Risk
Female,Suburban,High School,Average,10,6,20.831265565497432,5.683566414775764,1,2.341895313984133,66.39207802484388,68.64531370619058,At-Risk
Male,Urban,Bachelors,Average,9,3,10.361947740718549,7.832098103272837,2,2.5692785960540254,65.9372163753121,58.7592964040701,At-Risk
Male,Rural,PhD,Good,7,5,19.876062095522027,6.415805669069394,1,2.337338858605422,54.55803631997884,58.608569795626536,At-Risk
Female,Rural,High School,Poor,1,4,10.845175618054927,6.95651141212195,2,2.2007548454085217,59.10797769374101,64.8482776587088,At-Risk
Male,Urban,Masters,Average,9,4,11.926951443674128,7.627984645979297,1,2.874869744904053,64.36987536177958,59.228204979673535,At-Risk
Male,Rural,Bachelors,Excellent,2,4,14.9907695581794,5.739368067612146,0,2.2696435450059433,64.12487638031119,54.87377004175676,At-Risk
Male,Urban,Bachelors,Excellent,4,6,10.760366482581087,6.24711430055801,0,2.3782644911806767,63.96219135330584,64.42184917221607,At-Risk
Male,Urban,Bachelors,Average,9,4,10.613121077099795,7.484324202443855,2,2.6208854097882393,63.27714384594259,64.94147830737732,At-Risk
Female,Urban,High School,Excellent,4,5,10.818293485007224,6.563719196335995,1,1.9921262409396285,48.18049063261878,45.26001062769223,Fail
Female,Rural,High School,Good,3,5,16.594277923029704,6.703823452663607,3,2.646223672128143,62.737357518243186,62.061814076538965,At-Risk
Female,Suburban,Bachelors,Average,1,3,14.997753006588692,5.451017475554915,2,2.6684722186837564,76.67122569453238,69.23497699116997,Pass
Female,Urban,High School,Good,7,4,15.263156139468228,6.7241327239769,0,2.0525500262997793,53.474669118654035,38.74984561020841,Fail
Female,Urban,Masters,Good,6,6,13.376835728195616,9.478254966801774,2,2.8681235288110245,69.53821973310588,72.70010881910282,Pass
Male,Suburban,Bachelors,Excellent,10,3,17.743499499303347,6.33047124219858,1,2.353812974683686,49.142215336466535,64.65215358144478,At-Risk
Female,Urban,High School,Average,4,5,20.25029015560311,5.279483777433876,3,3.1266506231625604,84.06118102624495,75.26921312342934,Pass
Female,Rural,Bachelors,Good,6,4,17.878085321006132,8.437204236417108,3,2.4463256716770645,66.585693666429,48.67831616861777,At-Risk
Female,Rural,High School,Poor,6,5,13.955142243753354,7.78503239776244,2,2.0698599868262044,46.490075491653066,47.65020084792171,Fail
Female,Suburban,Bachelors,Average,4,3,8.896074581628373,7.318927663776413,1,2.2627273596180695,52.36661457122569,55.57805698907496,At-Risk
Male,Rural,Bachelors,Poor,6,5,5.11459650157961,5.0220370512512496,1,1.7570196235117335,42.7553480343076,35.31323700567242,Fail
Male,Urban,Masters,Excellent,10,4,14.675675748134527,5.235079475202895,3,2.18667300965483,43.13056863246648,54.91188369916051,At-Risk
Male,Rural,Bachelors,Excellent,8,4,5.034042935542239,4.694021725304468,0,2.0837755570654144,52.831457115679946,53.47076669148822,At-Risk
Male,Suburban,Bachelors,Good,3,3,14.003473333322138,7.647297251725671,1,2.7806484053020966,53.06183174993444,79.13690253934712,At-Risk
Female,Suburban,Bachelors,Good,4,4,22.013115994032855,8.529803392752596,3,3.1925655486900686,67.01944434295882,78.4947500859377,Pass
Female,Urban,Masters,Average,10,5,9.232649746843956,7.697901410158218,3,2.196519355995225,49.81703984871897,55.80677374246437,At-Risk
Male,Rural,High School,Average,1,5,8.569465259930446,9.924853596574996,1,2.061604893366993,45.25717145799456,47.13251050179838,Fail
Female,Urban,High School,Average,4,6,18.184671147071114,6.337144505251885,1,2.657270132872775,70.94566258537996,62.61436157264855,At-Risk
Male,Urban,High School,Average,10,6,0.9712929035490259,6.514495837997744,2,2.085084845584297,54.957094949832026,57.7606310917032,At-Risk
Male,Urban,High School,Good,10,6,16.90904070197725,7.159842837092317,0,1.9178979303315615,61.713689198046495,46.07147898405399,At-Risk
Male,Suburban,Bachelors,Good,9,5,22.342546378637465,6.655752376385029,2,2.7910128738629583,70.70380003443597,76.38814004010592,Pass
Male,Suburban,Bachelors,Poor,8,5,10.637575453024951,7.748066364774714,2,2.7707195983403525,71.32928964081955,68.89368089666696,At-Risk
Female,Suburban,Bachelors,Poor,4,3,9.778801264410582,6.040568591591917,3,2.1739635724212136,42.71854662799592,45.19842420029898,Fail
Male,Rural,High School,Average,7,6,17.95011648799765,4.907913482586254,3,2.3042291609818717,45.995961768065314,52.06251465962369,At-Risk
Female,Urban,Bachelors,Good,10,5,9.146281112868893,4.315989131512624,0,2.2997696725854304,58.13850855195796,76.84136128048218,At-Risk
Female,Suburban,High School,Excellent,3,3,19.0540936186723,7.720768935648058,2,2.2979430177629783,58.26569470667665,56.64488250927906,At-Risk
Male,Urban,Bachelors,Good,9,5,9.553450358755669,6.21113331908581,2,2.5001825508028173,65.40046743296516,49.581929544016724,At-Risk
Non-binary,Rural,Bachelors,Excellent,10,3,23.842011676672094,5.245688529323236,3,2.13441039309493,66.05659930104622,44.253788471358654,At-Risk
Non-binary,Rural,High School,Good,4,6,18.311528228641144,6.071411395001174,3,2.347312750348888,47.514744394327046,52.97996986077085,At-Risk
Male,Suburban,High School,Average,2,6,15.190219050948997,9.928797853893178,1,2.9905754797850883,91.66350694394717,67.61810410372325,Pass
Female,Suburban,High School,Average,10,6,23.553774715461774,5.333659910745707,2,2.7655267381254234,54.2380655204861,60.34451148263992,At-Risk
Male,Urban,Masters,Excellent,5,5,20.157718539258507,8.090787295524702,0,2.3822757281375075,63.28629808850992,71.25582028693601,At-Risk
Male,Urban,Masters,Good,2,5,16.843083884716552,7.631640357173724,2,3.3861814114964726,72.1909963358043,89.97183583308488,Pass
Male,Rural,Bachelors,Average,10,3,5.683900331307592,9.012149227019707,3,2.2140309485232343,62.59214503584695,53.75220050479465,At-Risk
Female,Urban,High School,Good,6,4,11.492529794653066,6.815360692578792,1,2.5305234656002598,48.42474010123307,58.564932697838934,At-Risk
Female,Urban,Bachelors,Good,10,4,20.42704794435253,4.659483402353965,2,2.5686028287566907,36.890327303436436,62.921513862506174,At-Risk
Male,Urban,Bachelors,Good,1,6,8.499369783961995,8.488817957171143,0,2.4917177511292437,63.75164331802365,76.53913730093737,At-Risk
Male,Rural,Bachelors,Excellent,6,4,11.171383633486476,6.625266527330815,3,1.7700251079817222,43.00082560401228,37.33032013675369,Fail
Female,Urban,High School,Good,4,6,9.889511062466946,8.911694694717927,1,1.8550251756969485,57.436333801734506,33.75830707853572,Fail
Male,Urban,High School,Good,3,3,17.011784131606213,8.22395333996754,2,2.8239674293042394,71.37784359086375,75.93801221380329,Pass
Male,Suburban,Bachelors,Poor,2,4,19.818059054314404,8.493804388570947,0,3.3125149575759925,75.36432911243807,90.8779451087403,Pass
Female,Rural,High School,Poor,7,4,19.822994592956185,10.552722563988072,3,2.3076726741775984,52.293716292481854,69.30489108908648,At-Risk
Non-binary,Urban,High School,Average,9,6,10.73590301963868,7.422997067343937,0,1.9235955557948332,80.25009057508251,45.27118282703907,At-Risk
Male,Urban,High School,Poor,3,3,16.943292611843404,9.164282604716925,2,2.688192432723364,58.45906355700507,64.4697675251911,At-Risk
Female,Urban,Bachelors,Good,6,4,10.50058691477152,6.392731698955437,3,2.168019361178568,59.44597587011851,70.2987320674171,At-Risk
Female,Urban,Masters,Good,9,4,13.947257501309833,7.811067094998505,2,2.404966194019361,64.14615287436854,64.88815267514879,At-Risk
Male,Urban,PhD,Average,2,4,17.600840494730082,6.246593920642204,1,2.610976591676858,70.75302466759291,64.5938059975427,At-Risk
Female,Suburban,Bachelors,Excellent,7,3,20.306876683145923,7.7188597585864445,2,2.916738826568558,77.5806099713191,76.94540733885806,Pass
Male,Suburban,Bachelors,Average,5,3,4.253015031694218,7.562208245910156,1,2.597740927900246,62.26734597849821,61.4555245091293,At-Risk
Female,Suburban,High School,Average,5,4,15.493173457042495,3.9091501847408803,2,2.4464271749087834,43.54019161731689,63.57047785320571,At-Risk
Female,Urban,Bachelors,Average,7,6,22.03646651764971,6.082408159514819,0,2.705661528319733,69.1978470729916,69.9214603052047,At-Risk
Female,Rural,High School,Average,9,6,16.161097148376836,7.345473557308515,0,2.2588417546309,56.342837750008535,63.1444315740494,At-Risk
Male,Urban,Bachelors,Average,4,4,15.413066363966562,3.6139105266835307,3,2.534241487825069,64.59535638266281,55.476594354325165,At-Risk
Female,Rural,High School,Good,9,3,12.184964242598157,6.856233443942222,0,2.079817169691292,57.6477487310478,54.83885303067629,At-Risk
Male,Suburban,High School,Good,10,4,21.9037648389314,8.512705434759425,0,2.28524405301683,52.994925516443175,47.798391353171496,At-Risk
Male,Urban,High School,Excellent,9,3,12.416079523943635,8.95036972483856,1,2.0365138268326812,44.709936818743415,65.9170012293452,At-Risk
Male,Suburban,High School,Poor,4,4,14.49925304775336,5.826332929482353,0,2.089841409233443,61.25446645697534,48.89240274270476,At-Risk
Female,Urban,High School,Average,3,3,12.648934107341354,9.046609260321802,1,2.3616343442337153,55.75239043924987,45.80170577843586,At-Risk
Female,Suburban,High School,Poor,2,5,15.540977542574819,8.812174769754398,1,2.9443795760554585,68.67230448017283,95.82837625609626,Pass
Male,Urban,PhD,Good,9,6,22.12825999524098,3.7781639541417045,1,2.275708957324059,51.090295474657054,52.72412508674839,At-Risk
Female,Urban,Bachelors,Poor,2,5,10.469467347116684,7.173687869476486,2,1.9001406746327687,53.44920573497253,48.26323119567137,Fail
Male,Rural,Bachelors,Excellent,6,6,15.562766321259332,7.3396438168179525,1,2.1650678473602185,52.02903773952667,40.56393465128898,Fail
Female,Urban,Masters,Good,5,3,16.955322501079042,9.278192826839113,2,2.4202972174024984,82.63550832952077,60.08337340900399,At-Risk
Male,Rural,PhD,Good,5,5,10.938339325153265,7.429577441387615,1,2.0184301312745667,51.03523243286338,63.84246392593406,At-Risk
Female,Urban,Bachelors,Good,4,6,14.7049207194464,9.090596559412077,2,3.362270240819198,71.99073483067318,89.69628455240455,Pass
Male,Suburban,Masters,Average,6,4,24.256700597455392,5.828827471904354,3,2.5858032482131623,60.27634095355002,51.038396188629896,At-Risk
Female,Suburban,High School,Average,5,3,6.157553360560241,4.602926119901704,3,2.162757018943542,60.62213342912162,47.96349426167051,At-Risk
Male,Suburban,High School,Average,4,3,12.89399630921299,6.028242718566841,2,2.3106370649364742,51.76421386846799,65.11137604988208,At-Risk
Male,Urban,Bachelors,Good,9,4,16.252797534650462,9.365482655020474,3,2.6614525504670037,66.36412897932512,71.6294549712712,At-Risk
Male,Urban,Bachelors,Average,6,4,13.12028515333872,8.38887907000967,0,2.3887692212586558,69.5037845745922,55.8311084471204,At-Risk
Female,Urban,Bachelors,Average,10,6,29.43123735282056,10.483692150460225,1,3.3888958068124535,96.01107069981205,87.89894738245754,Pass
Female,Urban,High School,Excellent,10,3,17.743453682406464,4.835005831884795,2,2.2948922919147785,52.128128882542896,47.78704885902518,At-Risk
Male,Suburban,High School,Poor,10,6,9.778154185702622,8.561982969540342,3,2.159820690279887,51.42728711934628,43.53945100827988,Fail
Female,Rural,Bachelors,Excellent,3,4,3.316203223398455,8.132299299660133,3,2.0428716127583173,52.04003693586327,31.125458199297757,Fail
Female,Rural,High School,Good,10,3,16.70137931375927,6.572024894255558,0,2.276924465551301,70.34637623361442,64.32620769752475,At-Risk
Female,Suburban,Bachelors,Average,6,4,11.221904380962304,8.163891387494086,1,2.6290290386341546,54.72769306941186,64.88432220503788,At-Risk
Female,Suburban,Bachelors,Average,1,6,21.444492531393266,7.209947216385227,0,3.165854352156388,82.74360676852615,79.18013576197843,Pass
Male,Suburban,Bachelors,Average,5,6,13.625672185448082,7.690461273312253,2,2.777192136179484,69.98421191280926,44.8710828297764,At-Risk
Male,Urban,Bachelors,Good,10,6,12.158241796652348,8.020824896505374,3,1.7621417372069557,35.083341712709164,43.656473520818366,Fail
Female,Rural,Masters,Good,6,3,12.073764214275077,8.470163942882587,3,2.262017806762032,68.92382877753124,60.958889232363966,At-Risk
Female,Suburban,Bachelors,Good,8,4,19.93254586914639,7.130217499240605,3,2.6253557407748453,75.53729713217633,48.91831926777631,At-Risk
Female,Suburban,Bachelors,Excellent,9,4,17.077915199169823,9.666004081919304,0,2.943747243161077,88.97644812215194,73.94728042581299,Pass
Male,Urban,Bachelors,Good,3,6,23.77978361895439,6.676412012657322,0,2.809617020355627,82.04245257556991,69.70837314647154,Pass
Male,Urban,High School,Average,2,6,13.924464418984059,9.825636431032203,1,2.6919006616691914,67.39951197016649,63.575101830759685,At-Risk
Female,Urban,High School,Average,4,6,19.311397060265165,5.308234107336372,2,3.1225059595086506,84.25689468828851,88.5236313379487,Pass
Female,Rural,High School,Excellent,8,6,19.39688042205823,5.522410712981099,1,2.0497689500720617,54.56256362418995,59.78564199138495,At-Risk
Female,Suburban,Bachelors,Average,8,5,18.3690672653178,5.610234601966264,1,2.1235176583433284,44.01711967068533,79.62943789046312,At-Risk
Female,Urban,Bachelors,Poor,3,5,12.450710904766789,8.435291172588524,3,3.320554139762616,69.96979488013133,73.31043368865542,Pass
Female,Rural,Masters,Good,4,5,17.367040150228938,5.791807721039192,0,2.177925246210709,58.13822751243891,57.87726262807952,At-Risk
Male,Urban,High School,Good,3,6,14.513787799679994,9.23518804090532,2,2.2671331478219776,57.643058684898534,68.67731396457414,At-Risk
Male,Urban,High School,Excellent,10,6,14.382418644542287,6.210289433690707,1,1.797994680218058,41.58573266837312,39.412306021396184,Fail
Female,Urban,PhD,Good,2,4,10.970948541573673,7.598928547372568,2,2.8463319412999732,70.23460983514116,84.68834536702575,Pass
Female,Suburban,High School,Poor,4,3,4.3983062938463835,7.960131288155103,3,2.485942615122647,79.84320366542711,65.06779680216857,At-Risk
